XCoord,YCoord,RED,GREEN,BLUE,NIR,LCCODE
387968.9312,4798367.353,211,203,190,65,3
387554.6071,4798295.718,96,101,127,145,4
387608.3109,4798359.849,84,97,125,93,4
388004.941,4798402.69,94,100,118,93,4
388022.7912,4798377.253,165,155,148,132,4
388071.4671,4798400.723,82,96,120,165,4
387505.5659,4798180.403,45,91,122,8,1
387515.0078,4798277.348,50,100,126,8,1
387613.6316,4798261.914,197,188,167,55,2
387627.6455,4798241.307,212,207,183,51,2
387625.4166,4798211.867,139,138,140,36,2
387663.603,4798206.031,228,215,195,87,2
387585.9844,4798246.646,93,95,114,76,4
387614.0811,4798235.776,95,111,135,66,4
387634.9276,4798181.244,86,92,119,115,4
387488.4158,4798038.501,113,138,152,12,1
387513.2559,4798119.586,47,98,123,8,1
387639.466,4798140.974,183,177,167,47,2
387637.351,4798061.499,250,236,209,98,2
387633.918,4798038.147,210,193,175,73,2
387613.0127,4798036.76,227,222,197,67,2
